Date,Clicks,Impressions,CTR,Position
2026-05-11,3,14,21.43%,19.6
2026-05-12,2,8,25%,16.1
2026-05-13,1,12,8.33%,19.9
2026-05-14,1,13,7.69%,10.4
2026-05-15,3,18,16.67%,8.4
2026-05-16,1,17,5.88%,12.9
2026-05-17,1,16,6.25%,7.6
2026-05-18,2,28,7.14%,14.2
2026-05-19,0,35,0%,19.9
2026-05-20,1,36,2.78%,9.4
2026-05-21,0,16,0%,12.3
2026-05-22,3,14,21.43%,8.6
2026-05-23,2,11,18.18%,7.6
2026-05-24,0,26,0%,14.3
2026-05-25,0,12,0%,9.3
2026-05-26,1,19,5.26%,11.2
2026-05-27,1,24,4.17%,9.3
2026-05-28,2,18,11.11%,8.6
2026-05-29,0,29,0%,9.4
2026-05-30,2,19,10.53%,15.9
2026-05-31,2,15,13.33%,22.3
2026-06-01,1,17,5.88%,15.9
2026-06-02,2,16,12.5%,11.1
2026-06-03,1,18,5.56%,18.3
2026-06-04,0,25,0%,19.9
2026-06-05,1,13,7.69%,12.5
2026-06-06,2,21,9.52%,17
2026-06-07,0,14,0%,14.6
2026-06-08,4,26,15.38%,20.3
2026-06-09,1,12,8.33%,22.3
2026-06-10,2,23,8.7%,11
2026-06-11,0,21,0%,16.6
2026-06-12,0,21,0%,11.2
2026-06-13,1,14,7.14%,15.1
2026-06-14,0,18,0%,12.8
2026-06-15,0,24,0%,17.9
2026-06-16,3,46,6.52%,17
2026-06-17,3,37,8.11%,21.2
2026-06-18,0,32,0%,17
2026-06-19,1,18,5.56%,23
2026-06-20,1,37,2.7%,21.8
2026-06-21,0,51,0%,25.3
2026-06-22,5,40,12.5%,25.9
2026-06-23,3,32,9.38%,13.7
2026-06-24,0,19,0%,15.8
2026-06-25,1,14,7.14%,9.6
2026-06-26,0,10,0%,29.7
2026-06-27,0,10,0%,23
2026-06-28,0,18,0%,23.6
2026-06-29,1,18,5.56%,12.2
2026-06-30,4,24,16.67%,21.1
2026-07-01,2,15,13.33%,14.1
2026-07-02,1,13,7.69%,9.2
2026-07-03,0,16,0%,18
2026-07-04,3,17,17.65%,25.8
2026-07-05,4,18,22.22%,10.8
2026-07-06,4,24,16.67%,16.3
2026-07-07,1,22,4.55%,22.7
2026-07-08,0,14,0%,14.4
2026-07-09,1,29,3.45%,23.1
2026-07-10,5,61,8.2%,24.4
2026-07-11,1,27,3.7%,36.2
2026-07-12,1,43,2.33%,28.3
2026-07-13,5,51,9.8%,24.7
2026-07-14,1,51,1.96%,22.4
2026-07-15,1,48,2.08%,27.3
2026-07-16,1,18,5.56%,21.7
2026-07-17,2,29,6.9%,23.9
2026-07-18,5,32,15.62%,13.9
2026-07-19,2,36,5.56%,17.4
2026-07-20,3,28,10.71%,17.7
2026-07-21,4,40,10%,18.9
2026-07-22,2,27,7.41%,15.3
2026-07-23,2,32,6.25%,14.8
2026-07-24,1,25,4%,20.9
2026-07-25,0,3,0%,31.3
